"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"36","Bal Pharma Limited","BALPHARMA","P&F | F.A","12.82%","122.23","25,93,991"
"39","Gujarat Ambuja Exports Limited","GAEL","P&F | F.A","5.3%","116.55","77,53,621"
"20","Kitex Garments Limited","KITEX","P&F | F.A","5%","199.2","36,47,630"
"30","Anant Raj Global Ltd","TARC","P&F | F.A","4.74%","149.28","51,55,627"
"23","Spml Infra Limited","SPMLINFRA","P&F | F.A","3.6%","182.13","15,88,153"
"34","Elin Electronics Ltd","ELIN","P&F | F.A","2.1%","136.51","2,30,243"
"19","Karur Vysya Bank Limited","KARURVYSYA","P&F | F.A","0.89%","216.9","41,43,578"
"11","Indus Towers Ltd (Bharti Infratel)","INDUSTOWER","P&F | F.A","0.7%","360.5","1,61,45,235"
"12","Valiant Organics Ltd","VALIANTORG","P&F | F.A","0.63%","357.85","4,40,229"
"2","Siyaram Silk Mills Limited","SIYSIL","P&F | F.A","0.36%","743.2","3,55,017"
"24","DCM Shriram Industries Ltd","DCMSRIND","P&F | F.A","-0.01%","176.86","2,75,419"
"37","Donear Industries Limited","DONEAR","P&F | F.A","-0.58%","119.24","6,51,047"
"3","Bikaji Foods International Ltd","BIKAJI","P&F | F.A","-0.7%","677.1","3,80,301"
"38","Nippon India ETF Nifty India Consumption","CONSUMBEES","P&F | F.A","-0.8%","118.5","2,07,252"
"26","City Union Bank Limited","CUB","P&F | F.A","-0.89%","162.9","18,11,317"
"7","Vardhman Textiles Limited","VTL","P&F | F.A","-1.1%","470.75","50,92,512"
"4","Aditya Birla Sun Life AMC Ltd","ABSLAMC","P&F | F.A","-1.31%","654.5","2,83,426"
"35","Suven Life Sciences Limited","SUVEN","P&F | F.A","-2.05%","128.72","10,38,094"
"10","Exide Industries Limited","EXIDEIND","P&F | F.A","-2.1%","364.4","24,42,177"
"16","Aditya Birla Fashion And Retail Limited","ABFRL","P&F | F.A","-2.16%","258.3","25,32,306"
"27","Engineers India Limited","ENGINERSIN","P&F | F.A","-2.39%","162.7","39,66,446"
"41","Zee Entertainment Enterprises Limited","ZEEL","P&F | F.A","-2.49%","104.72","1,71,50,258"
"13","Nitin Spinners Limited","NITINSPIN","P&F | F.A","-2.66%","353.35","4,17,633"
"22","The Karnataka Bank Limited","KTKBANK","P&F | F.A","-2.72%","183.37","19,09,529"
"29","Standard Glass Lining Technology Ltd","SGLTL","P&F | F.A","-2.76%","153.19","12,87,112"
"14","Iifl Holdings Limited","IIFL","P&F | F.A","-2.91%","340.25","27,56,717"
"32","Rain Industries Limited","RAIN","P&F | F.A","-3.12%","138.62","7,96,197"
"40","Vishal Mega Mart Ltd","VMM","P&F | F.A","-3.33%","105.79","1,01,65,539"
"1","Tejas Networks","TEJASNET","P&F | F.A","-3.85%","842.65","58,38,138"
"5","HBL Engineering Ltd","HBLENGINE","P&F | F.A","-3.89%","507.95","23,28,090"
"18","Surya Roshni Limited","SURYAROSNI","P&F | F.A","-3.99%","252.8","10,81,704"
"15","Baazar Style Retail Ltd","STYLEBAAZA","P&F | F.A","-4.3%","315.11","8,52,829"
"6","Kalyan Jewellers India Ltd","KALYANKJIL","P&F | F.A","-4.31%","487.15","86,66,363"
"25","Parag Milk Foods Limited","PARAGMILK","P&F | F.A","-4.42%","173.57","9,11,742"
"28","Arkade Developers Ltd","ARKADE","P&F | F.A","-4.77%","156.86","14,15,182"
"33","Lemon Tree Hotels Ltd","LEMONTREE","P&F | F.A","-4.77%","136.83","38,09,688"
"8","K.P. Energy Ltd","KPEL","P&F | F.A","-5%","407.55","4,95,547"
"9","Orient Technologies Ltd","ORIENTTECH","P&F | F.A","-5%","373.7","2,82,087"
"17","Thirumalai Chemicals Limited","TIRUMALCHM","P&F | F.A","-5.16%","255.65","4,64,262"
"21","Kopran Limited","KOPRAN","P&F | F.A","-5.87%","184.66","2,11,570"
"31","Himatsingka Seide Limited","HIMATSEIDE","P&F | F.A","-6.56%","148.52","10,82,758"
